gid,id,team,d_seq,d_pos,stattype,d_ifouts,d_po,d_a,d_e,d_dp,d_tp,d_pb,d_wp,d_sb,d_cs,d_gs,date,number,site,vishome,opp,win,loss,tie,gametype,box,pbp
LAN202403210,campl002,SDN,1,2,value,27,7,2,0,0,0,0,1,0,0,1,20240321,0,SEO01,v,LAN,1,0,0,regular,y,y
LAN202403210,wadet002,SDN,1,5,value,15,0,0,0,0,0,,,,,1,20240321,0,SEO01,v,LAN,1,0,0,regular,y,y
LAN202403210,rosae002,SDN,1,5,value,12,2,0,0,0,0,,,,,0,20240321,0,SEO01,v,LAN,1,0,0,regular,y,y
LAN202403210,merrj002,SDN,1,8,value,27,2,0,0,0,0,,,,,1,20240321,0,SEO01,v,LAN,1,0,0,regular,y,y
LAN202403210,yamay001,LAN,1,1,value,3,0,0,0,0,0,,,,,1,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,grovm001,LAN,1,1,value,6,0,0,0,0,0,,,,,0,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,hurtk001,LAN,1,1,value,6,0,0,0,0,0,,,,,0,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,vesia001,LAN,1,1,value,3,0,0,0,0,0,,,,,0,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,yarbr001,LAN,1,1,value,5,0,1,0,0,0,,,,,0,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,feyej001,LAN,1,1,value,3,0,0,0,0,0,,,,,0,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,varlg001,LAN,1,1,value,1,0,0,0,0,0,,,,,0,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,bettm001,LAN,1,6,value,27,1,4,0,1,0,,,,,1,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,freef001,LAN,1,3,value,27,5,0,0,1,0,,,,,1,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,smitw003,LAN,1,2,value,27,9,0,0,0,0,0,2,1,0,1,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,muncm001,LAN,1,5,value,27,0,1,1,0,0,,,,,1,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,hernt002,LAN,1,7,value,27,1,0,0,0,0,,,,,1,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
LAN202403210,outmj002,LAN,1,8,value,27,7,0,1,0,0,,,,,1,20240321,0,SEO01,h,SDN,0,1,0,regular,y,y
